index,name,zip_code,latitude,longitude
0,Vnukovo Intl Airport Station,119027,55.608261,37.287433
1,Arbat Station,119002,55.747616,37.583140
2,Khamovniki (IMOSCO2),119048,55.729235,37.571758
3,Izmaylovo (IMOSCO147),197720,60.194343,29.700522
4,Dmitrovsky (IMOSCO140),127247,55.879990,37.536454
5,Stations Zyablikovo (IMOSCO87),115580,55.618995,37.745933
6,Filevsky Park (IMOSCOW274),121096,55.736154,37.490604
7,Stations Krylatskoe (IMOSCO132),121614,55.760201,37.416476
8,Nagornyy (IMOSCO124),117638,55.667188,37.614051
9,Nagatinsky zaton (IMOSCO32),115142,55.674600,37.689168
