,№,street,zip_code
0,0,"""Москва, рабочий посёлок Заречье""",141250
1,1,"""Москва, Витебская улица, 9""",121596
2,2,"""Москва, Подольское шоссе""",115093
3,3,"""Москва, Севастопольский проспект, 11Е""",117447
4,4,"""Москва, Кутузовский проспект, 9к1""",121151
5,5,"""Москва, жилой комплекс Грин парк""",143930
6,6,"""Москва, Осенний бульвар, 15""",121609
7,7,"""Москва, Верейская улица""",119517
8,8,"""Москва, улица Шверника, 17к2""",117447
9,9,"""Москва, Перервинский бульвар, 16к2""",109469
10,10,"""Москва, район Метрогородок""",107143
11,11,"""Москва, проспект Андропова, 58Б""",115522
12,12,"""Москва, Шоссейный проезд""",109548
13,13,"""Москва, Новослободская улица, 54с3""",127055
14,14,"""Москва, Люблинская улица, 27/2с3""",109387
15,15,"""Москва, Новодевичий пр., 1""",119435
16,16,"""Москва, Большая Филёвская улица""",121433
17,17,"""Москва, Ботаническая улица, 14А""",127106
18,18,"""Москва, Шоссейная улица, 4""",109548
19,19,"""Москва, Строгинский бульвар, 14к6""",123592
20,20,"""Москва, Иловайская улица, 26с32""",109651
21,21,"""Москва, Ленинградское шоссе, 69к1""",125445
22,22,"""Москва, проезд Черепановых, 29с22""",125183
23,23,"""Москва, Кронштадтский бульвар, 32""",125438
24,24,"""Москва, Волгоградский просп., 53""",109518
25,25,"""Москва, 3-я Песчаная улица, 3""",125252
26,26,"""Москва, Ломоносовский проспект, 25к5""",119991
27,27,"""Москва, Уржумская улица, 1/3""",129343
28,28,"""Москва, Рублёвское шоссе, 58""",121609
29,29,"""Москва, Никитский бульвар, 12""",119019
30,30,"""Москва, бульвар Яна Райниса, 45к2""",125373
31,31,"""Москва, улица Алексея Свиридова, 9с1""",121374
32,32,"""Москва, аллея Связистов""",121354
33,33,"""Москва, Митинская улица, 27к2""",123430
34,34,"""Москва, улица Вавилова, 61с1""",117292
35,35,"""Москва, Нащокинский переулок, 5с4""",119019
36,36,"""Москва, Таллинская улица, 14""",123458
37,37,"""Москва, Проектируемый проезд № 3723""",109390
